latitude;longitude;local;descricao;fonte
40.419877;-3.708912;Pastelería Celia;Pastelería en el barrio de Chueca, conocida por sus postres innovadores y la calidad de sus ingredientes.;poi_madrid
40.410897;-3.69537;Dama de Baza;Escultura íbera ubicada en el Museo Arqueológico Nacional, famosa por su intrincado diseño y su importancia histórica.;poi_madrid
40.418901;-3.711523;Madrilana;Tienda de productos típicos madrileños, incluyendo dulces tradicionales y souvenirs.;poi_madrid
40.492289;-3.748972;Instituto Nacional de Técnica Aeroespacial;Centro de investigación y desarrollo en tecnología aeroespacial, con proyectos en aviación y exploración espacial.;poi_madrid
40.414672;-3.708451;Bar La Cava Baja;Bar tradicional en La Latina, conocido por sus tapas y raciones en un ambiente acogedor.;poi_madrid
40.418611;-3.709463;Restaurante La Casa de la Risa;Restaurante en el barrio de Salamanca, conocido por su cocina internacional y ambiente divertido.;poi_madrid
40.487439;-3.703756;Jardín del Parque de la Vaguada;Parque con amplias áreas verdes y zonas recreativas, ideal para disfrutar de la naturaleza y realizar actividades al aire libre.;poi_madrid
40.408998;-3.710267;Avenida del Río;Vía que bordea el río Manzanares, ofreciendo acceso a zonas recreativas y residenciales.;poi_madrid
40.421112;-3.710692;Colegio Nuestra Señora de la Merced;Colegio en el barrio de Ciudad Lineal, con un enfoque en la educación académica y formación integral.;poi_madrid
40.417611;-3.706845;Restaurante La Tasca;Restaurante en el barrio de Tetuán, famoso por su ambiente acogedor y comida tradicional.;poi_madrid
40.448879;-3.729013;Barrio de Vallehermoso;Barrio tranquilo conocido por sus residencias y proximidad a la Universidad Complutense de Madrid.;poi_madrid
40.417601;-3.703874;Restaurante La Taberna del Gato;Restaurante en el barrio de Malasaña, famoso por su comida casera y ambiente informal.;poi_madrid
40.41953;-3.708341;Colegio Virgen de Atocha;Colegio en el barrio de Atocha, conocido por su enfoque educativo y programas de formación integral.;poi_madrid
40.417537;-3.705879;Restaurante El Palacete;Restaurante en el barrio de Chamberí, conocido por su ambiente elegante y su cocina española tradicional.;poi_madrid
40.416053;-3.692484;Gimnasio al Aire Libre;Espacio de entrenamiento al aire libre en el Parque del Retiro, ideal para ejercicios y actividades físicas en un entorno verde.;poi_madrid
40.419031;-3.707957;Bar La Cascada;Bar en Malasaña con una amplia selección de tapas y cócteles en un ambiente moderno y acogedor.;poi_madrid
40.416726;-3.706429;Casa de la Panadería;Edificio histórico en la Plaza Mayor, conocido por su arquitectura renacentista y su papel en la historia de Madrid.;poi_madrid
40.418441;-3.708672;"Juguetería Toys ""R"" Us";Gran cadena de tiendas de juguetes, ofreciendo una amplia selección de productos para todas las edades, ubicada en el centro comercial Príncipe Pío.;poi_madrid
40.416829;-3.711077;Bar El Escondite;Bar en el barrio de La Latina con una oferta de tapas creativas y ambiente acogedor.;poi_madrid
40.420302;-3.694406;Hotel Ritz;Hotel de lujo histórico en Madrid, conocido por su elegancia y servicio de alta calidad, situado cerca de la Plaza de Cibeles.;poi_madrid
40.416591;-3.707221;Ouh Babouche;Restaurante y bar en el barrio de Lavapiés, especializado en comida marroquí con una amplia oferta de platos tradicionales.;poi_madrid
40.419571;-3.704836;Farmacia Figueroa;Farmacia en el centro de Madrid, conocida por su servicio profesional y una amplia selección de medicamentos y productos de salud.;poi_madrid
40.416178;-3.702611;Museo del Vino;El Museo del Vino ofrece una experiencia única para los amantes del vino, con degustaciones y exposiciones que ilustran la historia y la cultura del vino en España.;poi_madrid
